CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120108,"Winkelmann, Marie T",3.42,1,12,11,5,0,0,1,2,0,0,1,0,1,0
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120108,"Kwon, Yaejoon",3.5,2,6,9,10,3,0,2,0,0,0,0,0,0,0
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120108,"Kwon, Yaejoon",3.22,4,4,5,8,2,2,1,1,0,0,0,1,1,1
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120108,"Arnaldo, Constancio",3.4,0,9,12,4,3,2,1,2,1,0,0,0,0,1
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120108,"Arnaldo, Constancio",3.52,0,13,9,6,5,1,0,0,0,0,0,1,0,0
56496,AAS,100,Intro Asian American Studies,B,LCD,120108,"Manalansan, Martin F",3.98,21,12,0,1,0,0,0,0,0,0,0,0,0,0
54059,AAS,120,Intro to Asian Am Pop Culture,AD1,DIS,120108,"Lee, Alexander J",3.23,5,6,2,4,6,3,1,3,0,0,1,0,0,0
54082,AAS,120,Intro to Asian Am Pop Culture,AD2,DIS,120108,"Lee, Alexander J",3.03,3,5,1,9,7,2,1,2,1,0,3,0,0,0
54083,AAS,120,Intro to Asian Am Pop Culture,AD3,DIS,120108,"Pham, Vincent N",3.38,0,9,9,4,4,4,2,1,0,0,0,0,0,0
54084,AAS,120,Intro to Asian Am Pop Culture,AD4,DIS,120108,"Pham, Vincent N",,,,,,,,,,,,,,,
50585,AAS,199,Discovery Course,MMD,LCD,120108,"Manalansan, Martin F",,,,,,,,,,,,,,,
42852,AAS,199,Discovery Course,SKD,LCD,120108,"Kwon, Soo Ah",,,,,,,,,,,,,,,
55765,AAS,215,US Citizenship Comparatively,A,LCD,120108,"Cacho, Lisa M",3.48,0,6,11,7,5,2,0,0,0,0,0,0,0,0
49995,AAS,346,Asian American Youth,A,LCD,120108,"Kwon, Soo Ah",,,,,,,,,,,,,,,
42862,AAS,365,Asian American Media and Film,A,LCD,120108,"Arai, Sayuri",,,,,,,,,,,,,,,
51335,AAS,390,Intermed Topics Asian Am St,DC,LCD,120108,"Coyoca, Wilfred D",,,,,,,,,,,,,,,
41524,AAS,490,Women of Color/NativeFeminisms,LCG,LCD,120108,"Cacho, Lisa M",,,,,,,,,,,,,,,
46683,AAS,490,Adv Topics in Asian Am Studies,MN1,CNF,120108,"Nguyen, Mimi T",,,,,,,,,,,,,,,
54236,AAS,501,Theory and Methods in AAS,A,LCD,120108,"Rana, Junaid",,,,,,,,,,,,,,,
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120108,"Green, Angela R",3.59,0,40,0,0,9,0,0,2,0,0,3,0,0,0
31270,ABE,221,Agric & Biological Engrg I,AL1,LEC,120108,"Grift, Tony E",3.56,0,33,0,14,13,0,2,1,0,0,0,0,0,0
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120108,"Hansen, Alan C",3.47,1,7,6,2,3,1,0,2,0,0,0,0,0,0
51073,ABE,374,Environ Control for Buildings,AB1,LEC,120108,"Green, Angela R",,,,,,,,,,,,,,,
56116,ABE,398,Special Topics,MGD,LCD,120108,"Danao, Mary-Grace",,,,,,,,,,,,,,,
36669,ABE,430,Project Management,A,LCD,120108,"Zahos, Stephen C",3.3,0,9,9,27,10,8,1,1,0,0,0,0,0,0
29655,ABE,459,Drainage and Water Management,A3,LEC,120108,"Cooke, Richard A",,,,,,,,,,,,,,,
56114,ABE,463,Electrohydraulic Systems,TEG,LEC,120108,"Grift, Tony E",,,,,,,,,,,,,,,
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120108,"Hansen, Alan C",3.41,2,7,10,6,6,1,1,1,1,0,0,0,0,0
29663,ABE,483,Engrg Properties of Food Matls,A,LEC,120108,"Rausch, Kent D",3.58,0,16,0,0,6,0,0,2,0,0,0,0,0,0
29665,ABE,489,Corn Milling Process Design,A,LCD,120108,"Eckhoff, Steven",,,,,,,,,,,,,,,
55878,ABE,498,Sustainable Biosystems Engrg,LFR,LCD,120108,"Rodriguez, Luis F",,,,,,,,,,,,,,,
39806,ABE,501,Graduate Research I,A,LCD,120108,"Zhang, Yuanhui",,,,,,,,,,,,,,,
55120,ABE,598,Special Topics,ACH,DIS,120108,"Hansen, Alan C",,,,,,,,,,,,,,,
29670,ACCY,200,Fundamentals of Accounting,A,LCD,120108,"Silhan, Peter A",3.03,3,22,12,12,21,20,8,3,3,3,2,0,2,0
