CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30107,AAS,100,Intro Asian American Studies,AD1,DIS,120101,"Arnaldo, Constancio",3.7,0.0,14.0,13.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41729,AAS,100,Intro Asian American Studies,AD2,DIS,120101,"Arnaldo, Constancio",3.6,0.0,11.0,10.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43832,AAS,100,Intro Asian American Studies,AD3,DIS,120101,"Pyon, Heekyong T",3.74,4.0,15.0,8.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48232,AAS,100,Intro Asian American Studies,AD4,DIS,120101,"Pyon, Heekyong T",3.94,1.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48234,AAS,100,Intro Asian American Studies,AD5,DIS,120101,"Lee, Alexander J",3.85,8.0,20.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50105,AAS,100,Intro Asian American Studies,AD6,DIS,120101,"Lee, Alexander J",3.89,16.0,10.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52801,AAS,120,Intro to Asian Am Pop Culture,AD1,DIS,120101,"Komaki, Ryuta",3.56,0.0,7.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52802,AAS,120,Intro to Asian Am Pop Culture,AD2,DIS,120101,"Komaki, Ryuta",3.43,0.0,5.0,13.0,11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52803,AAS,120,Intro to Asian Am Pop Culture,AD3,DIS,120101,"Lee, Sandra",3.6,0.0,13.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52804,AAS,120,Intro to Asian Am Pop Culture,AD4,DIS,120101,"Lee, Sandra",3.67,0.0,16.0,10.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52317,AAS,215,US Citizenship Comparatively,A,LCD,120101,"Cacho, Lisa M",,,,,,,,,,,,,,,
51119,AAS,258,Muslims in America,A,LCD,120101,"Rana, Junaid",3.83,7.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51340,AAS,299,Begin Topics Asian Am Studies,DC,LCD,120101,"Coyoca, Wilfred D",,,,,,,,,,,,,,,
48495,AAS,299,Begin Topics Asian Am Studies,JD,LCD,120101,"Dowling, Julie",,,,,,,,,,,,,,,
51521,AAS,390,Intermed Topics Asian Am St,NP,LCD,120101,"Paik, Angela N",,,,,,,,,,,,,,,
40574,AAS,490,Adv Topics in Asian Am Studies,MKJ,LCD,120101,"Jung, Moon-Kie",,,,,,,,,,,,,,,
52839,AAS,561,Race and Cultural Critique,A,LCD,120101,"Rana, Junaid",,,,,,,,,,,,,,,
53025,ABE,199,Undergraduate Open Seminar,CHP,LCD,120101,"Czapar, George F",,,,,,,,,,,,,,,
49113,ABE,199,Undergraduate Open Seminar,GD,LEC,120101,"Danao, Mary-Grace",,,,,,,,,,,,,,,
29862,ABE,222,Agric & Biological Engrg II,AL1,LEC,120101,"Rodriguez, Luis F",2.93,0.0,10.0,3.0,9.0,11.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120101,"Grift, Tony E",,,,,,,,,,,,,,,
47444,ABE,436,Renewable Energy Systems,XW1,LCD,120101,"Wang, Xinlei",3.34,3.0,9.0,14.0,15.0,11.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
51916,ABE,446,Biological Nanoengineering,KB1,LEC,120101,"Bhalerao, Kaustubh",,,,,,,,,,,,,,,
51917,ABE,446,Biological Nanoengineering,KB2,LEC,120101,"Bhalerao, Kaustubh",,,,,,,,,,,,,,,
29875,ABE,456,Land & Water Resources Engrg,G4,LEC,120101,"Kalita, Prasanta K",,,,,,,,,,,,,,,
40185,ABE,456,Land & Water Resources Engrg,U3,LEC,120101,"Kalita, Prasanta K",3.89,0.0,18.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29872,ABE,469,Industry-Linked Design Project,AE1,LCD,120101,"Zahos, Stephen C",3.44,0.0,8.0,9.0,5.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44855,ABE,488,Bioprocessing Grains for Fuels,VS1,LCD,120101,"Singh, Vijay",,,,,,,,,,,,,,,
49583,ABE,498,Special Topics,ECK,LEC,120101,"Eckhoff, Steven",,,,,,,,,,,,,,,
29881,ABE,502,Graduate Research II,E,DIS,120101,"Eckhoff, Steven",,,,,,,,,,,,,,,
51668,ABE,598,Automotive Bioenergy,ACH,DIS,120101,"Hansen, Alan C",,,,,,,,,,,,,,,
45418,ACCY,200,Fundamentals of Accounting,A,LCD,120101,"Silhan, Peter A",2.83,3.0,15.0,9.0,9.0,9.0,6.0,10.0,7.0,3.0,2.0,4.0,3.0,1.0,0.0
30111,ACCY,200,Fundamentals of Accounting,TM,LCD,120101,"Finnegan, Thomas",3.94,2.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30112,ACCY,201,Accounting and Accountancy I,AD1,DIS,120101,"Sester, Mallory L",2.69,0.0,3.0,7.0,5.0,13.0,7.0,1.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0
30113,ACCY,201,Accounting and Accountancy I,AD2,DIS,120101,"Sester, Mallory L",3.16,0.0,7.0,13.0,10.0,6.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30114,ACCY,201,Accounting and Accountancy I,AD3,DIS,120101,"Cantrell, Andrea M",3.22,0.0,6.0,11.0,13.0,9.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
30115,ACCY,201,Accounting and Accountancy I,AD4,DIS,120101,"Cantrell, Andrea M",3.14,2.0,4.0,12.0,10.0,12.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
30116,ACCY,201,Accounting and Accountancy I,AD5,DIS,120101,"Ledebuhr, Jeffrey R",3.23,1.0,5.0,8.0,11.0,13.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
