CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
37453,ACCY,200,Fundamentals of Accounting,ONL,ONL,120155,"Silhan, Peter A",3.3,8,40,16,26,12,16,6,8,6,0,0,0,0,0
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120155,"Burke, Joseph W",3.36,2,6,10,22,14,4,0,0,0,0,0,0,0,0
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120155,"Yoon, Ha Young",3.4,2,10,16,4,14,8,0,0,0,0,0,0,0,0
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120155,"Cikurel, Deni",3.41,0,4,28,12,10,6,0,0,0,0,0,0,0,0
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120155,"Hudgins, Ryan M",3.33,4,8,16,12,4,2,0,8,0,0,0,0,0,0
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120155,"Wang, Dongyi",3.35,4,6,6,8,6,6,2,0,0,0,0,0,0,0
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120155,"Cheong, Seo Sun",3.39,8,8,12,10,6,0,0,4,0,0,2,0,0,0
30080,ACCY,312,Principles of Taxation,A,LCD,120155,"Gale, Brian T",3.32,12,14,0,4,16,0,0,6,0,0,2,0,0,0
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120155,"Hetrick, Kamber V",3.38,0,6,6,6,6,0,0,2,0,0,0,0,0,0
38235,ACCY,410,Advanced Financial Reporting,A3,LCD,120155,"Kustanovich, Michael",3.38,2,22,4,2,4,8,2,2,2,0,0,0,0,0
38236,ACCY,451,Advanced Income Tax Problems,A3,LCD,120155,"Sternburg, Thomas",,,,,,,,,,,,,,,
34354,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",PMB,LCD,120155,"Sandretto, Michael J",,,,,,,,,,,,,,,
30083,ACCY,501,Accounting Analysis I,A,LCD,120155,"Ahmed, Waqar",3.64,6,18,16,4,12,0,0,0,0,0,0,0,0,0
30086,ACCY,501,Accounting Analysis I,B,LCD,120155,"Ahmed, Waqar",3.29,0,20,8,8,16,10,2,0,0,0,2,0,0,0
32912,ACCY,501,Accounting Analysis I,C,LCD,120155,"Finnegan, Thomas",,,,,,,,,,,,,,,
36386,ACCY,503,Managerial Accounting,A1,ONL,120155,"Hecht, Gary W",,,,,,,,,,,,,,,
38412,ACCY,503,Managerial Accounting,ONL,ONL,120155,"Hecht, Gary W",3.86,2,30,8,6,0,0,0,0,0,0,0,0,0,2
32291,ACCY,551,Corporate Income Taxation,CHI,LCD,120155,"Kalish, Kent J",3.58,12,10,6,4,12,2,0,0,0,0,0,0,0,0
32292,ACCY,556,Tax Research,CHI,LCD,120155,"Fotzler, Jonathan B",,,,,,,,,,,,,,,
37076,ACCY,557,Accounting Periods & Methods,CHI,LCD,120155,"Ulleweit, Michael",3.62,0,12,20,10,4,0,0,0,0,0,0,0,0,0
37074,ACCY,559,Tax Policy,CH1,LCD,120155,"Giertz, J F",3.78,2,22,14,8,0,0,0,0,0,0,0,0,0,0
37075,ACCY,559,IRS Procedures,CH2,LCD,120155,"Meier, Walter K",3.57,0,14,12,14,4,2,0,0,0,0,0,0,0,0
33980,ACCY,560,Information in Value Creation,A,LCD,120155,"Chandler, John S",3.85,2,44,30,0,2,0,0,0,0,0,0,0,0,0
37030,ACE,100,Agr Cons and Resource Econ,ONL,ONL,120155,"Gundersen, Lisa C",2.39,0,0,2,4,2,6,0,2,4,2,0,2,0,0
37924,ACE,240,Personal Financial Planning,0NL,ONL,120155,"Stoddard, Paul B",3.54,36,70,24,28,20,8,4,4,2,4,2,0,0,0
37068,ACE,592,Graduate Internship Experience,GIE,CNF,120155,"Ando, Amy W",,,,,,,,,,,,,,,
37778,ADV,150,Introduction to Advertising,S1,ONL,120155,"Meron, Shachar",3.58,0,14,0,4,4,0,2,0,0,0,0,0,0,0
38283,ADV,281,Advertising Research Methods,S2,ONL,120155,"Sar, Sela",3.19,0,6,22,22,14,8,0,0,2,0,4,0,0,0
36343,ADV,350,Writing for Public Relations,ONL,ONL,120155,"Wirtz, John",3.12,0,4,14,8,6,2,0,0,0,0,0,2,2,0
37829,AFST,222,Introduction to Modern Africa,A,ONL,120155,"Barro, Maimouna A",3.8,14,22,6,0,0,2,0,0,2,0,0,0,0,0
36961,AGCM,270,Sales Communications,ONL,ONL,120155,"Kanfer, Alaina",,,,,,,,,,,,,,,
36784,AGED,260,Intro to Leadership Studies,A,LCD,120155,"Burgoon, Lisa A",,,,,,,,,,,,,,,
32562,AGED,499,SAE Financial Record Keeping I,GR,LCD,120155,"Korte, Debra S",,,,,,,,,,,,,,,
32337,AGED,500,Leading Contemporary Orgs,DR,ONL,120155,"Rosch, David M",,,,,,,,,,,,,,,
38371,AGED,500,Leading Contemporary Orgs,GR,LCD,120155,"Rosch, David M",,,,,,,,,,,,,,,
32338,AGED,500,BSAA Institute,GR1,LCD,120155,"Korte, Debra S",,,,,,,,,,,,,,,
30180,ANSC,110,Life With Animals and Biotech,1,LCD,120155,"Allen, Crystal A",3.8,10,44,4,2,2,0,0,0,0,0,0,0,2,0
30200,ANSC,331,Biology of Reproduction,B,ONL,120155,"Nowak, Romana A",3.42,6,6,4,2,12,0,0,2,0,0,0,0,0,0
37669,ANSC,398,Undergraduate Research,A,CNF,120155,"Miller, David J",,,,,,,,,,,,,,,
38224,ANSC,398,Off-Campus Internship,E,CNF,120155,"Kline, Kevin H",,,,,,,,,,,,,,,
36296,ANTH,103,Anthro in a Changing World,ONL,ONL,120155,"O' Brien, Kathleen C",2.9,4,26,22,10,22,14,6,16,2,0,0,2,10,2
36297,ANTH,143,Biology of Human Behavior,ONL,ONL,120155,"Stinespring-Har, Ashley",3.21,18,20,10,12,8,2,2,4,2,2,6,0,2,4
34763,ANTH,209,"Food, Culture, and Society",ONL,ONL,120155,"Manalansan, Martin F",3.36,0,44,4,6,2,4,6,2,2,2,4,0,0,0
38262,ANTH,246,Forensic Science,ONL,ONL,120155,"Hughes, Cris E",2.69,0,14,4,4,12,0,0,10,4,4,4,0,2,2
37770,ANTH,399,"Culture, Hist & Film in Cuba",C,LCD,120155,"Eguez Guevara, Pilar A",,,,,,,,,,,,,,,
35407,ANTH,411,Methods of Cultural Anth,1U,LCD,120155,"Gottlieb, Alma J",,,,,,,,,,,,,,,
33737,ARAB,201,Elementary Standard Arabic I,A1,LCD,120155,"Bidaoui, Abdelaadim",,,,,,,,,,,,,,,
33738,ARAB,202,Elementary Standard Arabic II,A1,LCD,120155,"Saadah, Eman",,,,,,,,,,,,,,,
33675,ARAB,403,Intermediate Stand Arabic I,A1,PKG,120155,"Hermes, Zainab A",,,,,,,,,,,,,,,
33676,ARAB,404,Intermediate Stand Arabic II,B1,PKG,120155,"Hermes, Zainab A",,,,,,,,,,,,,,,
33704,ARAB,405,Advanced Standard Arabic I,A1,LCD,120155,"Zemmahi, Hicham",,,,,,,,,,,,,,,
33705,ARAB,406,Advanced Standard Arabic II,A1,LCD,120155,"Zemmahi, Hicham",,,,,,,,,,,,,,,
34653,ARAB,407,Topics Stand Arabic Lang&Lit I,A2,LCD,120155,"Saadah, Eman",,,,,,,,,,,,,,,
34655,ARAB,408,Topics Stand Arabic LangLit II,A2,LCD,120155,"Saadah, Eman",,,,,,,,,,,,,,,
38430,ARCH,164,Architecture as a 2nd Language,L,ONL,120155,"Deutsch, Randall",,,,,,,,,,,,,,,
37000,ARCH,475,Arch Design & Development,A,LAB,120155,"Taylor, Mark",,,,,,,,,,,,,,,
32623,ARCH,476,Arch Design & Exploration,A,LAB,120155,"Taylor, Mark",,,,,,,,,,,,,,,
30259,ARCH,571,Design:Detail & Architectonics,A,LAB,120155,"Taylor, Mark",,,,,,,,,,,,,,,
35192,ART,100,Understanding Visual Culture,JB,ONL,120155,"Burns, Jennifer",3.22,0,12,18,6,14,4,2,0,0,0,2,0,2,0
38339,ART,205,Experience & Meaning in Design,MP,ONL,120155,"Peterson, Matthew",3.58,0,26,0,4,6,0,2,0,2,0,0,0,0,4
38341,ARTD,209,Chado (The Way of Tea),JG,ONL,120155,"Gunji-Ballsrud, Jennifer",3.33,14,42,0,4,4,4,4,4,0,2,0,0,6,2
38340,ARTD,260,Basic Photography,LR,LAB,120155,"Robbennolt, Linda F",,,,,,,,,,,,,,,
34317,ARTF,102,Drawing I,B,LAB,120155,"Briggs, Molly C",,,,,,,,,,,,,,,
37432,ASTR,100,Introduction to Astronomy,ONL,ONL,120155,"Katolik, Michael E",2.66,4,22,2,12,12,2,6,4,6,4,8,2,6,2
36300,ATMS,120,Severe and Hazardous Weather,ONL,ONL,120155,"Snodgrass, Eric R",3.73,440,136,0,28,38,18,10,8,2,2,4,0,14,0
37386,BADM,300,The Legal Environment of Bus,OL,ONL,120155,"Fricke, Michael R",3.66,102,64,16,14,20,6,6,2,0,4,0,4,0,0
29884,BADM,300,The Legal Environment of Bus,ONL,ONL,120155,"Marrs, Gregory A",3.54,24,56,30,34,14,12,0,8,2,0,0,0,0,2
29889,BADM,310,Mgmt and Organizational Beh,A,LCD,120155,"Lim, Jaegoo",3.51,4,10,4,4,4,2,0,2,0,0,0,0,0,0
36472,BADM,310,Mgmt and Organizational Beh,OL,ONL,120155,"Shabbir, Muhammad S",3.56,0,180,84,34,10,6,2,4,4,2,2,0,12,4
29885,BADM,320,Principles of Marketing,A,CNF,120155,"Wolters, Mark E",,,,,,,,,,,,,,,
36473,BADM,320,Principles of Marketing,OL,ONL,120155,"Shabbir, Muhammad S",3.64,0,120,24,12,6,4,0,2,2,0,4,0,4,2
37372,BADM,340,Ethical Dilemmas of Business,OL,ONL,120155,"Winter, Gretchen A",3.03,0,4,8,0,16,0,12,0,0,0,0,0,0,0
36474,BADM,350,IT for Networked Organizations,OL,ONL,120155,"Sachdev, Vishal",3.31,0,44,26,12,6,4,2,6,2,0,4,0,4,0
37373,BADM,375,Business Process Management,OL,ONL,120155,"Pirim, Taner",3.34,10,18,12,14,6,2,2,0,6,0,0,0,2,2
36475,BADM,380,International Business,OL,ONL,120155,"Bucheli, Marcelo",3.15,0,14,20,22,16,4,2,0,4,2,2,0,2,0
34221,BADM,551,Managing Intellectual Property,ADV,LCD,120155,"Bradley, Joe A",3.85,12,48,42,2,0,0,0,0,0,0,0,0,0,0
30705,BADM,567,Process Management,A,LCD,120155,"Chhajed, Dilip",3.49,8,14,22,12,14,8,0,0,0,0,0,0,0,0
35684,BADM,567,Process Management,B,LCD,120155,"Chhajed, Dilip",3.65,0,26,20,18,6,0,0,0,0,0,0,0,0,0
36402,BADM,572,Stat for Mgt Decision Making,OL,ONL,120155,"Palekar, Udatta S",3.92,52,70,14,10,0,0,0,0,0,0,0,0,0,0
32848,BADM,590,Technology Practicum,ADT,LCD,120155,"Kurtz, Jeffrey M",3.92,2,92,0,2,4,2,0,0,0,0,0,0,0,0
13359,BADM,590,Global Business Simulation,GBS,LCD,120155,"Qualls, William J",3.74,0,24,0,0,6,0,0,0,0,0,0,0,0,0
36596,BADM,590,Business Practice Immersion,GRI,LCD,120155,"Chhajed, Dilip",,,,,,,,,,,,,,,
38373,BADM,590,Marketing in a Digital World,ON1,ONL,120155,"Rindfleisch, Aric P",3.4,0,10,18,14,6,4,0,0,0,0,2,0,0,0
34792,BADM,590,Negotiations,PMB,LCD,120155,"Loewenstein, Jeffrey",3.4,0,10,24,34,8,6,0,2,0,0,0,0,0,0
30712,BTW,250,Principles Bus Comm,D,LCD,120155,"Merrill, Andrew",,,,,,,,,,,,,,,
36349,BTW,250,Principles Bus Comm,OL2,ONL,120155,"Sunia, Patricia G",3.59,0,6,18,4,2,2,0,0,0,0,0,0,0,0
36350,BTW,250,Principles Bus Comm,OL3,ONL,120155,"Tienou, Debora",3.04,0,4,10,8,6,2,0,0,4,0,0,0,2,0
30714,BTW,250,Principles Bus Comm,OL4,ONL,120155,"Ballard, Shawn C",2.88,2,8,2,2,6,2,0,4,4,0,0,0,2,2
30716,BTW,250,Principles Bus Comm,OL5,ONL,120155,"Williams, Kelly E",3.37,0,4,20,4,4,0,0,0,4,0,0,0,0,0
36942,CEE,422,Construction Cost Analysis,ONL,ONL,120155,"Liu, Liang Y",3.46,0,16,2,4,4,0,0,0,0,0,0,0,2,0
30817,CEE,422,Construction Cost Analysis,UG3,LCD,120155,"Liu, Liang Y",3.6,6,34,4,20,6,4,0,0,2,0,0,0,0,0
37833,CEE,458,Water Resources Field Methods,F,LBD,120155,"Schmidt, Arthur R",3.73,6,20,0,0,4,4,0,0,0,0,0,0,0,0
31375,CEE,467,Masonry Structures,UG3,LCD,120155,"Abrams, Daniel P",,,,,,,,,,,,,,,
30819,CEE,469,Wood Structures,UG3,LCD,120155,"Gurfinkel, German",3.52,8,10,8,2,2,0,0,0,0,0,2,2,0,0
38511,CEE,597,Independent Study,LLO,ONL,120155,"Liu, Liang Y",,,,,,,,,,,,,,,
37926,CHBE,471,Biochemical Engineering,A,LEC,120155,"Kraft, Mary L",3.56,0,14,2,0,6,0,0,2,0,0,0,0,0,0
30822,CHEM,102,General Chemistry I,AL1,LEC,120155,"Hummel, Thomas J",2.84,4,8,4,12,6,14,8,8,4,4,0,0,0,0
38250,CHEM,102,General Chemistry I,O,ONL,120155,"Marville, Kelly",2.27,2,8,0,6,2,6,6,8,4,8,4,4,2,6
30828,CHEM,103,General Chemistry Lab I,11,LAB,120155,"O Connor, Samantha N",3.8,22,32,12,0,4,0,4,0,0,0,0,0,0,0
30825,CHEM,104,General Chemistry II,AL1,LEC,120155,"Andino Martinez, Jose G",3.03,6,10,6,10,22,4,6,8,6,0,0,0,0,4
38251,CHEM,104,General Chemistry II,O,ONL,120155,"Ray, Christian R",2.68,6,12,16,6,22,8,32,18,6,6,8,0,0,2
